FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:15;vars:1.trace,123.76877403259277,5,((x0 & (X x0)) -> (X (X x0))),31.104340926744044,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),51
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/10traces;len:7;vars:2.trace,127.52652740478516,5,((* (true . true)) |-> x0),17.73005569074303,6,(G (x1 U (X (X x0)))),17
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:13;vars:2.trace,127.7015278339386,5,((X (X x0)) & (X (X (X x0)))),32.90353000815958,5,(X ((X x0) & (X (X x0)))),51
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:5;vars:2.trace,131.85388731956482,5,((* (true . true)) |-> x0),50.082382692955434,6,((X x0) & (G (x0 -> (X (X x0))))),17
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:13;vars:3.trace,133.12681889533997,4,(G (x1 & x0)),108.32503684423864,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:11;vars:2.trace,136.03768181800842,4,((x0 . x0) |-> x1),50.52480763848871,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:13;vars:5.trace,158.17238903045654,5,((F (G x2)) -> (x2 -> (G x2))),63.545813497155905,5,((F (G x2)) -> (x2 -> (G x2))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:15;vars:2.trace,160.3509600162506,4,(G (x0 & x1)),129.5231312746182,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/500traces;len:9;vars:2.trace,163.70479202270508,4,(G (x1 & x0)),149.10197679605335,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/250traces;len:5;vars:2.trace,169.06560969352722,5,(x0 -> (X (x0 -> (X x0)))),102.38715182151645,5,((x0 & (X x0)) -> (X (X x0))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:9;vars:2.trace,181.58573818206787,5,(x0 U (G (x1 & x0))),64.32549086678773,5,(G (x0 & (X x1))),51
