FileName,PSL-Time taken(2loops),PSL-Size(2loops),PSL-Formula Generated(2loops),LTL-Time taken,LTL-Size,LTL-Formula Generated
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/100traces;len:3;vars:1.trace,198.503392219543,6,(x0 -> (G (x0 -> (X (X x0))))),108.405852734111,6,(x0 -> (G (x0 -> (X (X x0)))))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/100traces;len:3;vars:2.trace,198.694634914398,6,(x0 -> ((X x1) -> (X (X x1)))),64.2312598526478,6,(x0 -> (X (x1 -> (X x1))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:7;vars:2.trace,200.78323507309,6,(X (x0 -> (X (X x1)))),49.2830791999586,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> (x0 | ((X x1) | (X (X x2)))))/50traces;len:7;vars:3.trace,215.787848949432,6,((x0 & x1) -> (x0 U (X x0))),78.2177748708054,6,((X x0) | ((x0 U x2) -> x2))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/100traces;len:5;vars:3.trace,228.171293020248,6,(X (x0 -> (X (X x1)))),103.271891802084,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/100traces;len:5;vars:2.trace,271.303711652756,6,(X (x0 -> (X (X x1)))),114.075159272179,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:9;vars:2.trace,277.881575107574,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:7;vars:1.trace,286.238051176071,5,((* (true . true)) |-> x0),689.661913482007,7,((X x0) & (X (G (x0 -> (X (X x0))))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:11;vars:1.trace,287.811769723892,5,((* (true . true)) |-> x0),611.660885162186,7,((X x0) & (G ((X x0) -> (X (X (X x0))))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:9;vars:1.trace,299.22097325325,5,((* (true . true)) |-> x0),102.755895674694,6,((X x0) & (G (x0 -> (X (X x0)))))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/50traces;len:7;vars:3.trace,299.962976694107,6,((X x1) -> (X ((X x1) | x0))),154.942153445911,6,(X (x0 | (x1 -> (X x1))))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/50traces;len:7;vars:2.trace,305.041412353516,6,(x0 -> ((X x1) -> (X (X x1)))),77.8557132077403,6,((X x1) -> (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:9;vars:2.trace,308.018284320831,6,(X (x0 -> (X (X x1)))),61.11658593826,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:7;vars:3.trace,308.139860630035,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:11;vars:3.trace,312.17299580574,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:7;vars:2.trace,315.885565519333,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:7;vars:2.trace,316.367438077927,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:9;vars:1.trace,346.926476716995,6,(x0 -> (G (x0 -> (X (X x0))))),103.217901687138,6,(x0 -> (G (x0 -> (X (X x0)))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:7;vars:3.trace,377.350840568542,6,(X (x0 -> (X (X x1)))),111.039802309126,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:9;vars:3.trace,379.366400957108,6,(X (x0 -> (X (X x1)))),88.9796389499679,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:11;vars:2.trace,402.232524633408,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/100traces;len:7;vars:2.trace,402.989399194717,6,(X (x0 -> (X (X x1)))),121.52035574289,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:11;vars:2.trace,403.763963222504,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/50traces;len:3;vars:3.trace,443.662196159363,7,((x0 U (X (x0 U (! x1)))) -> (X (x0 U (! x1)))),233.082281599753,7,((x0 U (X (x0 U (! x1)))) -> (X (x0 U (! x1))))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:9;vars:2.trace,444.276164531708,6,(x0 -> (G (x0 -> (X (X x0))))),105.642719777767,6,(x0 -> (G (x0 -> (X (X x0)))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:11;vars:3.trace,487.357324838638,6,(X (x0 -> (X (X x1)))),104.438848233782,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/50traces;len:5;vars:1.trace,500.399038553238,7,(x0 -> (X ((X x0) & (X (X (X x0)))))),182.614554455969,7,(x0 -> ((X (X x0)) & (X (X (X (X x0))))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/500traces;len:3;vars:1.trace,512.491808652878,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:9;vars:1.trace,560.979811429977,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/500traces;len:3;vars:2.trace,563.862384557724,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/(((x0 . true) *) |-> (X x0))/100traces;len:7;vars:2.trace,582.713449478149,6,(x0 -> (G (x0 -> (X (X x0))))),183.122091750149,6,(x0 -> (G (x0 -> (X (X x0)))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/500traces;len:3;vars:2.trace,629.377486228943,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/500traces;len:3;vars:3.trace,634.150674819946,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/100traces;len:7;vars:3.trace,642.851116895676,6,(X (x0 -> (X (X x1)))),159.311169355176,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:9;vars:3.trace,678.390030622482,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:9;vars:2.trace,685.826323509216,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/100traces;len:9;vars:2.trace,700.315001726151,6,(X (x0 -> (X (X x1)))),201.142438313924,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:11;vars:1.trace,707.865955352783,5,((* (true . true)) |-> x0),10000,,
