FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/50traces;len:5;vars:5.trace,403.7185464,6,((X ((X x1) -> x3)) | x1),105.0247075,6,((x3 -> x1) | (x3 U (X x3))),6
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/50traces;len:7;vars:3.trace,437.3715496,5,((x0 . x1) |-> x2),73.52551237,6,(x0 -> (X (x1 -> x2))),17
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:9;vars:3.trace,472.0414681,5,(x0 U (G (x1 & x0))),196.4540335,5,(G (x0 & (X x1))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:9;vars:1.trace,481.5677717,5,((* (true . true)) |-> x0),10000,,,16
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/100traces;len:15;vars:1.trace,506.5803173,5,((x0 & (X x0)) -> (X (X x0))),121.4368893,5,(x0 -> ((X x0) -> (X (X x0)))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:7;vars:1.trace,508.8561609,5,((* (true . true)) |-> x0),10000,,,16
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:11;vars:5.trace,513.5681159,5,((x0 . x1) |-> x2),69.93721554,6,((X (X x4)) | ((F x4) -> (X x4))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:9;vars:2.trace,527.1977136,5,((* (x0 . x0)) |-> x1),534.9161955,7,((x0 U (x0 & (! (x0 U x1)))) -> (x0 & (! (x0 U x1)))),17
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:7;vars:2.trace,532.8149774,5,((* (true . true)) |-> x0),1604.214055,7,((X x0) U ((X (X x0)) & (G ((X (X x0)) -> x0)))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:15;vars:2.trace,541.1811397,4,((x0 . x0) |-> x1),215.2276937,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/50traces;len:5;vars:2.trace,544.2973154,5,((* (x0 . x0)) |-> (X x0)),881.6626154,7,((x0 & (X x0)) -> (X (X (X (X x0))))),17
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:9;vars:2.trace,554.9930859,5,((* (true . true)) |-> x0),870.2400126,7,((X x0) & (G (x0 U (X (x0 & (X x0)))))),17
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:15;vars:3.trace,588.2650878,5,(G ((X x1) & x0)),140.0220498,5,(G (x0 & (X x1))),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:5;vars:1.trace,589.5331614,5,((* (true . true)) |-> x0),10000,,,16
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:5;vars:2.trace,596.6132796,5,((* (true . true)) |-> x0),1557.913202,7,((X x0) & ((X x0) U (G (x0 -> (X (X x0)))))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:5;vars:3.trace,602.4238989,5,((* (x0 . x0)) |-> x1),10000,,,16
allTests/generatedTracesFromPSL/smallTests/23.trace,622.8812842,5,((* (true . true)) |-> x0),772.3130901,7,((X x0) & ((X x0) U (G (x0 -> (X (X x0)))))),17
allTests/generatedTracesFromPSL/smallTests/08.trace,626.3580132,5,((* (x0 . x0)) |-> x1),10000,,,16
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:15;vars:2.trace,651.7687514,5,(G (x0 & (X x1))),156.7780666,5,(G (x0 U (x0 & x1))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:7;vars:2.trace,663.045887,5,((* (x0 . x0)) |-> x1),10000,,,16
